,tweet,polarity_score
0,eurusd currently playing two head and shoulders patterns the break of the resistance line at 13300 will confirm which 1 is valid ,0
1,rand stumbles inside the range of 770 and 775 eur holds at 13230usd afternoon trade 773 12xruqt,0
2,   use paypal website payments pro then transfer from eur to usd and withdraw to bank,0
3,sunday night i will give support and resistance of the eur  usd gbp  usd gold silver and others,0
4,latin america afternoon wrap regional overview a surprisingly strong close to the week for em currencies with eurusd audusd and us e,0
5,am going to short eurusd and long usdchf till the markets close,0
6,the usd to jpy exchange rate is what right now i just did a double take time to buy things i wish gbp and eur were similar right now,0
7,usd  breakout or head and soulder,0
8,usdjpy well bounced off its low usdjpy well correlated with bond markets and eurcad going well,0
9,usd 13300 is tough nut to crack because of option barrier in play possibly a digital and theres a large asian cb name pinned to it,0
10,detail was talking about usd and not eur but still awesome see my previous tweet,0
11,detail was talking about usd and not eur but still awesome see my previous tweet,0
12, there is a bullish pattern in hourly chart watch out buddy eurcad and euraud short covering makes eurusd go higher,0
13,shares day today  eurusd on the way up  230 up already in last 10 mins wall street and sampp way too high though time to short perhaps,0
14,interesting have es and audjpy shorts working the aud is 12 size of my eurusd longgt its usd value is a perfect 11 hedge on euro,0
15,rt   eur usd and es still correlated  yep,0
16,long from yesterday closed at 13260 at eurusd  still large consolidation between 13000 and 13300,0
17,barclays the usd will be viewed as an increasingly unattractive funding currency compared with the jpy eur and chf,0
18,what a day i go short eurusd  stops me out by 1 freaking pip have a short order on spx at 1402  goes to 1401 and reverses  1 point,0
19,hosting domain and unlimited email addresses  80 usd  50 gbp  60 eur  per year,0
20,eurusd  inverted head and shoulders  fxtimes,0
21,eurusd created a higher high than on 21st march and what i see an optimised shorting price at 3286,0
22,eurusd characterized by drop in volatility and a closing of net shorts suggesting a continuing improvement in market confidence rge,0
23,i hate this so much  eurusd took out my stop at 13290 went to 13291 and then retraced 1 pip   amp,0
24,and if you didnt cover your eurusd short its a wrap hi hi hi,0
25,barriers at 13300 and 13315 in eurusd,0
26,news now jpy strengthened vs usd by 1 to 8253 the biggest closing gain since august and strengthened vs eur by 12 to 10892,0
27,currency news gtgt jpy strengthened vs usd by 1 to 8253 the biggest closing gain since august and strengthened vs eur by 12 to,0
28,update jpy strengthened vs usd by 1 to 8253 the biggest closing gain since august and strengthened vs eur by 12 to 10892 jpy,0
29,breaking news jpy strengthened vs usd by 1 to 8253 the biggest closing gain since august and strengthened vs eur by 12 to,0
30,attention fx news jpy strengthened vs usd by 1 to 8253 the biggest closing gain since august and strengthened vs eur by 12 to,0
31,henry dixon of  says eur needs to weaken significantly against usd and gbp to benefit the eurozone economy,0
32,usd 13290 technical resistance and protection into the 13300 option barriers will provide the next significant resistance  ,0
33,db gt expect eurusd to range trade in near term   recommend being long plnczk and a basket of pln try huf vs aud chf zar ,0
34, otherwise yes its safest to clsoe es and buy a dip in audusd or eurusd,0
35,ahead snb usdchf trading  09100 marker and eurchf trading  12055,0
36,uptrend eurusd and gbpusd at this time,0
37, es it is and eurusdalso going down i think,0
38,crazy squeeze on eurusd and gbpusd could be good longer term short entries but must make sure resistance holds first,0
39,gbp and eur are starting to top against the usd and the yen is coming back,0
40,usd interest to buy is back around 13150 sell orders ahead of 13300 stops above downside stops sub13130 and 13100  ,0
41,european session march 23eurusd  to 131gbpusd  to 15600audusd  103359 and 10320 for bearsusdchf  target is 09180,0
42,eurusd signal   march 22 2012 check out this eurusd signal based on a head and shoulders formation and find your entry and target i,0
43, it has been a big risk off days see eurusd sampp500 jumped bellow 1400 and broad market risk off orcl joins the crowd,0
44, and if i am right todays lows began a wave 3 of 3 up on eurusd only time will tell,0
45,eurusd and sampp were inverted for 5 days two weeks ago then it came back all will be revealed in this video,0
46, yessss im short eurusd from 13180 and 13195,0
47, hi we only got support for gbp eur and usd  our geolocation system defaults to usd for visitors outside eu  you can change it,0
48,eurusd may struggle near 13203 to 13214 area and could continue down,0
49,from the looks of today there may be some good set ups happening in the eurusd and the gbpusd,0
50,while the commodities currency are falling out of favor against the usd gbp and the eur is still resilient bullish scenario,0
51,another slow day the es and eurusd just going  sideways since 5 am,0
52, mrramki please give an analysis on eurusd and gbpusd would really appreciate it many thanks in advance,0
53, mrramki please give an analysis on eurusd and gbpusd would really appreciate it thanks in advance,0
54, what are your supp and resistance shorting eur usd then  thanks ,0
55,euro looking for another run at 13150 here if bears can break and hold below 13120s is first target and then 131 eurusd,0
56,if that i see on eurusd is correct we should have a big up day today and we should find no resistance 13300,0
57,eurusd held st 50 fib level and oversold indicators on hourly  charts should see move back to break point of 13180 possibly 13220,0
58, industrial new orders shrink data is going from bad to worse good for gbpeur and gbpusd but certainly bad for  economy,0
59,european stocks fall for a fourth day following weak european and chinese pmis eurusd down nearly 100 points from todays high,0
60,head and shoulders pattern on hourly chart of usd  broken on the downside,0
61,i see short term hamps break up on usd index and break down on eur 13075 eur tgt 802 tgt on dxy,0
62,clio in 2h eurusd chart i can see hs pattern and that patterns target hit at 13135 ish and 10yr bund is at fibo 50 resistance,0
63,bnp paribas goes short usd aiming for 128 within the next two months and with a stop placed at 13435,0
64,usd macro shortterm and a host of other fund names noted selling the euro in the aftermath of the poor german manfpmi,0
65,do you know how many people told me eurusd was going to 129 and below when i took the 13025 long yea dozens a few even sold it,0
66, and what i see is a eurusd long from right here,0
67,usd russian bids reinforcing 13150 expiries for the moment but further eur sales the risk and stops below 45 will remain threatened,0
68,eurusd h1 head and shoulders oportunitate de vanzare target 13100,0
69,today we have had 2 mdd there is a bullish md on the usdchf and 1 bearish md on the eurusd,0
70,german pmi data also miss expectations and usd plunges to 13150,0
71,short eurusd at 13250 shs broke 13170 too so we are bear target 13100 13050 and 13000 stop be,0
72, eur is extremely overvalued vs usd there is so much more qe coming in europe and no rate hikes for a long time,0
73,sho audusd nzdusd long bias  euraud gbpusdlooking for range trading in euraud and channel trading in gbpusd 5m,0
74,eurusd onwards and upwards gt 13315,0
75,  usd was weaker overnight eur up this morning and aud still flat  gold was down 01 on poor investor appetite and crude was up 12,0
76, on side lines in jpy and aud tho eurusd and es longs still alive and kicking ti,0
77,eur and gbp are heading north i am long eurusd gbpusd get out before eur german pmi announcement later,0
78,morning championsstill holding onto eurusd audusd and nzdusd shortslookin to sell gbp usd and audjpy sometime next week or 2 weeks,0
79,short the eurusd and looking for exit at the bottom of the trading range near 13000 still watching for long entries on the gbpjpy,0
80,eurusd rose from 13227 to 13265 as of 937 gmt and the daily maximum was 13285  the highest rate since march 8,0
81,still bull trend eurusd and gbp but could be reversing making shs but we need to see last low break the last low,0
82, eurusd because i knew the most about each currency and felt confident in my trade ,0
83,most traders narrow this list down to 4 major currency pairs when starting out  eurusd usdjpy gbpusd and usdchf ,0
84, excellent article about gbp amp eur regarding usdjpy i got in long at 8370 and now i am 36 pip do u think it will rise,0
85,my eurusd forecast is working out well and still presents a good trading opportunity get my analysis of the set up at trlnetnz,0
86,in other trading aside from our newsletter  still short gold silver and eurusd  staying with small position long 30yr and 10yr tbonds,0
87,eurjpy 1100 level is tight means time to buy eurjpy or cover eurjpy short position and also time to short usdjpy  to buy eurusd,0
88,fcs over 40 per share and with eurusd down to 131931,0
89,moved stop up on eurjpy note eurusd struggling at figure and usdjpy moving lower,0
90,sold you gt eurusd es and audjpy right  and any other jpy cross you wanthammer,0
91,to maintain an upside bias against the   will have to break and hold above 13288 level to convince the market,0
92,eurusd and gbpusd short term tops look to be in place possible long term entries coming up on both pairs,0
93,first entry of the morning was small profit weve since taken a sell entry on the eurusd and were looking for the bigger run down here,0
94,buying eurusd transitory dip at 13180 could make possible head and shoulders pattern in 2h chart right shoulder at 132525,0
95,we are long eurusd at 13225 and short at 13275 both are positive now tight range now,0
96,well that was a swift scalp with a 30 pip spike for the eurusd  catalysts were bernankes live testimony and poor us home sales good day,0
97,ryan  eur  jpy sell seems to be very attractive eur  usd and usd  jpy due to fall at the same time  google translated version  bmurray,0
98, its mine thats why  its a cix comparing swap spread term structures for usd and eur,0
99,eur  jpy sell seems to be very attractive eur  usd and usd  jpy due to fall at the same time  google translated version,0
100,as expected bernankes testimony helped the usd and hurt the eur but with unimpressive us home sales out  its time to scalp a long eurusd,0
101, stil long here silver and eurusd audusd short usdjpy and long audjpy,0
102,go eurusd go  temp resistance at 13240 and then 1327580,0
103,eur usd goes below uptrend line and 200 sma on 15 min chart,0
104,entered gbpjpy eurjpy and usdjpy short id rather go short during uptrend,0
105,gbpeur begins at 119777 and gbpusd 15835,0
106,eurusd support at 13215 and 13180,0
107,eurusd and gbpusd both held resistance and double topped looking for the neckline on head and shoulders to break on both,0
108, good morning nice eurusd trade i was too picky on entry and missed the move,0
109,steve  in daily chart gbpusd at right shoulder level of shampoo trading and also eurusd,0
110,rt   quick update im extremely happy with current positions long gold short spx500 and eurusd,0
111,i will continue to accumulate positions if instruments move against current trades  ie buy gold if lower sell eurusd and spx500 higher,0
112,quick update im extremely happy with current positions long gold short spx500 and eurusd,0
113,news now eurusd there is no change from yesterdays analysis the market could test 13300 next and has key support at 13185,0
114,currency news gtgt eurusd there is no change from yesterdays analysis the market could test 13300 next and has key support at 13185,0
115,update eurusd there is no change from yesterdays analysis the market could test 13300 next and has key support at 13185,0
116,breaking news eurusd there is no change from yesterdays analysis the market could test 13300 next and has key support at 13185,0
117,attention fx news eurusd there is no change from yesterdays analysis the market could test 13300 next and has key support at 13185,0
118, eurusd  euro saw sideway trend yesterday and rebounded to a fresh high during asia session today,0
119,usdjpyeurjpygbpjpyranges and trends are slowif you are trading themfollow the trend and be in alert about the market forms,0
120,btw im heavily long eurusd with a tight stop  im happy to take profits now and reenter lower or higher in this swamp,0
121, i am looking at the daily chart eurusd and is this considered a corrective move before the next leg down thanks,0
122,asia setup the usd has sold off some to begin asian trading consolidating from yesterdays moves stops in eurusd and eurjpy sent,0
123, whats your opinion about usdchf and eurchf ,0
124,eurusd at 132773 trade setup to the upside with price action and inside bar signal,0
125,very good movement on eurusd last hour  still moving up  check your rsi and macd against each other,0
126, usdchf and eurusd are seemingly inverted chartschf poked lows as euro poked highs   thats what she said,0
127, sagepay works with multi currency merchant accounts also i have always used sagepay with barclays usd eur and gbp without issue,0
128,examining the correlation between eurusd exchange rate and ,0
129,eurusd support is 13220 and 13190 could revisit those levels but i am anticipating it forming a wedge now,0
130,well that long eurusd was a quick take profit  though eurusd has dipped and a similar scalp is on my agenda  good luck everyone,0
131,waiting for eurusd to move and waiting for aud to drop across the board  i got those itchy fingers,0
132,eurusd still holding resistance at 13230 still expecting it to break this level and find resistance at 13300 area before ,0
133,correction gbpusd and eurusd are correlated at 90 on the daily 441 on the five minute level,0
134, there is a trade off between eur and usd subord debt from ge interesting for spread arbitrage traders 55 eur ge to cheap,0
135,going long at 13222 on eurusd and looking for 13240  great trading day on the beach  dont mind if i do ,0
136,gold and eurusd charts follow the same pattern so much,0
137,adding eurusd and gbpusd longs,0
138, you would like to go long something that already in a bullish trend as eurusd or gbpusd i am avoiding nzd and aud,0
139,high correlation again between eurusd and spy,0
140,if eurusd can clear 13265 high there is a mm around 13295 and the 618 is at 133,0
141,warrior eurusd has ihs formation  euro tested neckline and kaboom  hence ej rally higher,0
142, i trade based on intermarket analysis i trade european indices and fx aususd and eurusd they are all stable instruments,0
143,eurusd broke shorts from the top yesterday a print 13236 confirms 13318 targets today and those targets will break the 13250 short,0
144,gbpusd  105pips eurusd   15pips and eurjpy  166 pipsto close or not to close,0
145, check out the sampp500 future the next time and you will do better   eurusd and sampp500 should trade in tandem,0
146,limited downside for eurusd as we reached the 13190 level and sampp500 is just above s1 and support at 1399 we should create a low shortly,0
147,another down day in hong kong  losing count now but a bounce is well overdue  sold jpy vs usd and eur earlier today as long term bet ,0
148,eurusd and cable recovering a little after that silly china rumour hope none of you were shaken out of your long positions,0
149,eurusd is correcting parts of yesterdays gains and i expect this correction to end in the 13190 area which is a correction of 618,0
150,eurusd  as long as 13200 holds the upside move could continue till 1327513300 and 13320 respectively,0
151,daily eurusd fibonacci 618 retracement at 133030 which is unlikely and 50 retracement at 132650 highly possible ,0
152,usd euro rose and broke 13190 yesterday with an intraday high of 13264,0
153,sta are continuously testing many trades we take but not alert last night we won eurgbp fall amp gbpusd rise and audusd fall today,0
154,the dollar index went sideways and is unchanged since the end of 2008 during the spx rally  see prior  usdx uup eurusd  spy spx,0
155,time to short eurjpy  eurusd and usdjpy,0
156,high quality p formation 60 min and 30 eur usd,0
157,  risk on is alive and well the clouds tell me so  i got 922 on that eurusd bounce  good show gregory tia rod,0
158,long gbpchf stopped out eurusd gbpusd and short usdchf still going strong,0
159,still long eurusd and nzdusd eurusd working well nzdusd working well  we need moretargeting today 83008320,0
160,a gap down in usdchf seems to have triggered a broad round of usd selling that has soiled eurusd and gold,0
161,imo wave 3 of 3 in eurusd here and now,0
162,eurusd once cleared that 4 hour pivot above 20ma and 200ma on that 5 minute chart off it went and with tight am session moves fast,0
163,sugar and spice and everything nice  about to see what the shorts in eurusd are made of,0
164,eurusd rinse and repeat  ,0
165,sterling is broadly in demand ahead of wednesdays budget with highs of gbpeur at 12070 and gbpusd at 15890 mike,0
166,eurusd above 13127 and we are going up in extensions a test of 13100 support can be bought gt this is the next long,0
167,eurusd still looking for more upside breaking the resistance at 13185 and to head to the target of 13232 before we sellers coming in ,0
168,im confident in all current positions short spx500 and eurusd long gold neutral oil  upside bias looking to buy nzd and aud vs usd,0
169,eurusd but i am flexible and would not be surprised if we trade to 131 i am bullish as long as we trade above 13070,0
170,gold and silver prices advance  usd up vs jpy but down vs eur  crude oil higher,0
171,silver and gold prices fall while crude oil gains  usd down vs eur but higher vs jpy,0
172,silver and gold prices advance while usd gains against the eur but slips vs the jpy,0
173,gold and crude oil prices higher as sliver slips  usd gains vs jpy but lower vs eur,0
174,i think its time to buy eurusd and sell usdjpy good week,0
175,eurusd making lower highs and lower lowstrouble perhaps,0
176, the usd is going to be crushed this week the start of which seems to have already happened and r positioned for 13025 long eurusd,0
177,looking for eurusd to 13250 to test the shorts resolve above 13300 and the shorts fail below 12950 and longs fail,0
178,trading whats your view on copper and the hamps formation on the eurusd i expect it to trigger a pull back in the equity markets,0
179,dont believe the hype fx markets are selling eurusd on greece concern however basis swaps and b  skins,0
180, he shorted spx djia builders usd usts was long gold which was liquidated en masse stoxx eur and asian indices,0
181,in us trading on friday the euro was up against the greenback with eurusd gaining 071 and trading at 13173,0
182,i keep spare bills and change in seven currencies for my various work trips usd eur rub czk pln ltl chf anyone else do this,0
183,key levels for me tonight are quite immediate eurusd 13100 audusd 10540 and nzdusd 08100,0
184, yeah that correlations both bund and sampp  with eurusd are killing us cheer up happy machine,0
185,wish you all a relaxing weekend next week is a big earnings week plus   and  come to the bond market   ,0
186,it seems that eu leaders are trying to lead greek crisis and others  to soft landing but i think eur will go until parity with usd,0
187,cancelled gbpusd order and changed targetsstops on eurusd to classic b moving stop to entry as rapidly as possible,0
188,usd index starting to come off its lowest levels having stabilised in recent trade both eurusd and gbpusd have eased off session highs,0
189,usd index starting to come off its lowest levels having stabilised in recent trade as such both eurusd and gbpusd have eased off,0
190,power of the 5000 look at where eurusd stalled this morning and when cable has now stalled such important levels,0
191, i agree need a break below 09875c and then 09840c for clearing the way but doesnt look as promising as eurusd and audusd,0
192,13250 is only resistance i see on eurusd now before the 13480 highs 13300 confirms a retest of 13480 and 13680 targets,0
193,usd buying out of frankfurt described as aggressive and a run to 1319000 now the talk  ,0
194,now what  we said it  shut ur comp  no still the gold and eurusd now forget gbpusd it did what we wanted from it thx,0
