author id,author username,is_verified_user,followers_count,following_count,tweet_count,listed_count,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
48207937,OnStocks,False,820,51,8819,45,2011-12-24 05:22:20+00:00, ,150446185407201280,en,0,0,0,0,TweetDeck,Outlook on EUR/USD.. its failing to bounce and looking for new low's. The $USDX has turned resistance into support. Weak Volume rally.
443628796,DCFX_1982,False,13,0,255,0,2011-12-24 01:44:10+00:00, ,150391281430953984,en,0,0,1,0,Twitter for BlackBerry®,Consensus appears to be 2012 risk aversion and strong USD vs JPY EUR AUD. GBP up vs EUR. CHF weak.
158840198,DossInvestments,False,37,44,708,0,2011-12-24 00:12:03+00:00, ,150368100955590657,en,0,0,0,0,Twitter Web Client,Take profit hit on the EUR/USD long scalp - another profitable trading day :) Have a good weekend and spend some time with your family!
212597510,leopardtrader,False,635,33,11944,36,2011-12-23 20:50:29+00:00, ,150317373608562689,en,0,0,0,0,Twitter Web Client,"Merry Xmas and prosperous New  Year to all our members, followers,  RTs and viewers  $AAPL, $AMZn, $SPY, $SPX, $EUR/USD, $GOOG, $AUD/JPY"
21850129,Aaeru_,False,2576,1490,14000,58,2011-12-23 17:07:46+00:00, ,150261325426208768,en,0,0,0,0,TweetDeck,@EroJunko @Amoirsp EUR is dying. USD is dying. and all of this is thanks to human greed. oh noes! the IMF is announcing a global currency!
234912094,Peter_Eller10,False,541,234,18927,23,2011-12-23 16:43:34+00:00, ,150255236253097984,en,0,0,0,0,TweetDeck,EUR/USD  and crude flat while ES has levitated 6 handles in past 2hr...volume extremely light
440203286,ProsperityFXPro,False,459,0,5289,13,2011-12-23 16:37:05+00:00, ,150253605688049665,en,0,0,0,0,Twitter Web Client,It is most likely that the EUR/USD will give us an signal next week and this may coincide with a GBP/USD.
395760689,1stLtNickJames,False,14,18,690,0,2011-12-23 16:28:55+00:00, ,150251549459877888,en,0,0,0,0,Twitter Web Client,eur/usd looks like its trying again and the gbp/usd giving us some new daily lows 5600 it should hit some support
395760689,1stLtNickJames,False,14,18,690,0,2011-12-23 16:26:19+00:00, ,150250892766101504,en,0,0,0,0,Twitter Web Client,eur/usd consolidating at 1.3030 area its tried to break it twice now and just keeps on bouncing off
395760689,1stLtNickJames,False,14,18,690,0,2011-12-23 16:10:59+00:00, ,150247034471989248,en,0,0,0,0,Twitter Web Client,eur/usd sell @ 3050 just barely up its testing that 3030 line and thats been the supp/resis line for the last week or soo
