author id,author username,is_verified_user,followers_count,following_count,tweet_count,listed_count,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
545225851,RDForex,False,87,85,855,0,2013-01-25 19:28:02+00:00, ,294889384187142144,en,0,0,0,1,Twitter for BlackBerry®,My EUR/JPY and EUR/USD longs are doing really well #ForexUpdates
40851155,chartingtoday,False,188,1,2956,7,2013-01-25 18:55:15+00:00, ,294881132619636737,en,0,0,0,0,Twitter Web Client,"EUR has broken 2012 highs against GBP, CAD and AUD, so EUR/USD should break 1.3486 (2012 highs) and 1.3520 next week (SMA 200 weekly)"
773233016,bellofortrade,False,1054,1878,5032,6,2013-01-25 18:27:25+00:00, ,294874127658008576,en,0,0,0,0,Twitter for iPhone,EUR/USD has formed a Rising Wedge pattern on the 1D chart. The pattern has 64% quality and 51% magnitude on in the 84-bar period.
28140960,spreadthetrend,False,300,347,7329,10,2013-01-25 16:15:55+00:00, ,294841034846912514,en,0,0,0,0,Twitter Web Client,I would think at some point between here and 1.3650 that peeps may start to short EUR/USD once again
344225254,rahulrajan9,False,66,139,567,2,2013-01-25 16:02:38+00:00, ,294837692565426176,en,0,0,0,0,Twitter Web Client,@CVecchioFX wait for a monday morning gap up higher..and trigger shorts..as close to 123.30 as possible..and 1.3494 for eur/usd..
120423544,bthumainetrade,False,4,11,2744,0,2013-01-25 15:48:51+00:00, ,294834226388402178,en,0,0,0,0,TweetDeck,Usd/chf and Eur/chf longs are failing pretty badly..meh.
906221502,ForexKGI,False,31,0,50,0,2013-01-25 14:21:13+00:00, ,294812172024942593,en,0,0,0,0,Twitter Web Client,Adding to Eur/USD short and Adding GBP/JPY short term short
718119902,armanditoblume,False,97,22,3460,1,2013-01-25 13:59:18+00:00, ,294806654501912577,en,0,0,0,0,Twitter for iPad,"@Wildsoren usd/sek hit your estimated mark usd/jpy short and eur/usd short are the hardest counterplays,im still aud/usd sh and usd/cad long"
81594203,Robbedouche,False,7,25,116,0,2013-01-25 13:50:06+00:00, ,294804339996901378,en,0,0,1,1,Twitter Web Client,"@RickSchmull I agree with Soros. I said it before at Eur/USD 1,26, 1,30 and 1,33. EURO will be loser of this currencywar to the bottom"
912549925,ForexKong,False,3541,1,1380,90,2013-01-25 13:06:42+00:00, ,294793418587123712,en,0,0,0,0,Twitter Web Client,USD has clearly reversed as suggested prior - EUR taking most of the upside. Commod currencies should not be far behind..NZD and AUD slowly.
912549925,ForexKong,True,3541,1,1380,90,2013-01-25 13:03:59+00:00, ,294792736320679936,en,0,0,0,0,Twitter Web Client,"Re entry long several pairs USD/JPY, EUR/JPY, CAD/JPY etc..I will take one more shot at the Yen slide - and just be thankful for whats left."
1070890573,RivaldiSara,True,1186,1876,1128,178,2013-01-25 12:05:27+00:00, ,294778003651702784,en,0,0,0,0,Twitter Web Client,"@hafizzubi I'm personally trading with eur/usd, and it is 0.8"
453764737,managedfx4u,True,2,0,81,0,2013-01-25 11:48:37+00:00, ,294773769677979648,en,0,0,0,0,Twitter Web Client,just shorted the eur/usd at 1.3437 stop at 1.3510 and target 1.3324 3-5 day trade high risk....you have been warned...not my normal style..
414259284,Tickmill,True,34147,125,25689,162,2013-01-25 11:47:53+00:00, ,294773581882204162,en,0,0,0,0,Twitter Web Client,#EUR/USD 2012 high at 1.3486 and 1.3500 DNTs are next focus. #USD #fx
414259284,Tickmill,True,34147,125,25689,162,2013-01-25 11:47:17+00:00, ,294773431877128194,en,0,0,0,0,Twitter Web Client,#EUR/USD Expectations and results of LTRO repays lift the euro.Stronger IFO adds to bullish thinking
201847268,GeorgeStoykov,True,1563,137,57464,87,2013-01-25 10:41:20+00:00, ,294756833757888512,en,1,0,0,0,TweetDeck,"On another note, DIXY probably WON'T crash; What will probably happen be a strong EUR and a relatively strong USD (vs Commod and JPY/CHF)"
33973843,PipCzar,True,60107,767,84730,1841,2013-01-25 10:26:43+00:00, ,294753157572079616,en,0,0,0,0,TweetDeck,@farzaneh25 EUR breaking higher and USD/CAD looks to 1.01...I think so
120423544,bthumainetrade,True,4,11,2744,0,2013-01-25 10:17:38+00:00, ,294750871072419840,en,0,0,0,0,TweetDeck,Also holding Usd/chf long and 2 eur/chf longs. Tho I am a bit concerned with Eur/chf at the moment.
1023856471,Dainiusdh,True,11,5,1193,0,2013-01-25 10:04:38+00:00, ,294747598856781824,en,0,0,1,0,Twitter Web Client,"@Sigma_Square but I have eur/usd and usd/cad playing, so we will see at the end of the day :)"
388437288,PedroPuertas1,True,1441,464,11936,65,2013-01-25 10:02:00+00:00, ,294746937054339072,en,0,0,0,0,Twitter Web Client,"@Nouriel In euro area countries of low growth and recession, moderate growth in the U.S. And the ·eur/usd up nonstop. This isn't understand"
137684653,quanim,False,9,12,294,0,2013-01-25 08:52:33+00:00, ,294729459746099200,en,0,0,0,0,Twitter Web Client,Forex-For EUR/USD and GBP/USD we reckon with repeated up moves in today’s further trading
414259284,Tickmill,False,34147,125,25689,162,2013-01-25 08:17:49+00:00, ,294720716786528256,en,0,0,0,0,Twitter Web Client,#EUR/USD Rally extends through 1.3400 and spot is edging closer to the long target.
40442188,dimas_________,False,284,124,11288,2,2013-01-25 08:08:15+00:00, ,294718309411196928,en,0,0,0,0,UberSocial for BlackBerry,"What if buy eur/usd, it means you shall buy base currency,eur, and at the same time you sell quote currency,usd. Bingung? Sama!"
271399768,BMFNNews,False,1477,1524,99495,39,2013-01-25 07:34:48+00:00, ,294709891480829952,en,0,0,0,0,twitterfeed,"EUR/USD
Options: 1.3400

USD/JPY:
Options: 89.00 and 90.00

AUD/USD
Options: 1.0550

(RANsquawk/IFR)"
30230421,leonharvest,False,66,54,1281,1,2013-01-25 07:21:03+00:00, ,294706433444941824,en,0,0,0,0,Mobile Web (M2),EUR/USD breaks out taking 1.3400 on Germany Import Price index and Greece YoY Current account numbers. Reaching for the blue skys.
92293666,Mishbolu,False,835,586,1629,1,2013-01-25 05:54:35+00:00, ,294684673672630273,en,0,0,0,0,Twitter Web Client,oops.... I see futher downward trend on EUR/USD and AUD/USD. buh tooo late to follow it.... arrrrghhhhh
80332250,andriechai10,False,384,190,7285,0,2013-01-25 04:13:16+00:00, ,294659176209211393,en,0,0,0,0,UberSocial for BlackBerry,Financial Report with usd currency..convert all transaction to usd and say good bye to idr and eur? Damn it's really homework -_- crash mind
22374207,AndrewSalter,False,133,656,265,12,2013-01-25 00:41:01+00:00, ,294605762704076800,en,0,0,0,0,Twitter for iPhone,"Rout in #AUD overnight down to unwind of short EUR/AUD pos from specs.. More to come, but stronger FDI and weak USD and JPY dips limited!"
1094391150,CurrencyNZ,False,35,87,215,0,2013-01-25 00:24:35+00:00, ,294601624377257984,en,0,0,0,0,Twitter Web Client,"There is much movement between the EUR / USD. 
And you have a chance to make big money uphill and downhill!"
595144967,ChrisWeston_IG,False,12485,1871,19175,383,2013-01-24 21:30:05+00:00, ,294557708823191553,en,0,0,0,0,Twitter Web Client,"USD/JPY high 90.56, EUR/JPY 121.07 -Comments from Soros that the JPY move is real and EUR is here to stay and will appreciate helping #fx"
372460791,reinman_mt,False,5371,2471,89292,208,2013-01-24 21:09:26+00:00, ,294552512252497920,en,0,0,0,0,TweetDeck,@MWellerFX I'm not really sure in terms of EUR/USD. Lots of competing forces. Was thinking more in terms of bond markets and equities.
760883833,petergo99037185,False,236,40,304194,2,2013-01-24 18:47:14+00:00, ,294516726731796480,en,0,0,0,0,Twitter Web Client,"@chrisbeanie1 Just watch the YEN/EUR/USD relationship, it will guide all world markets, interesting times, EURO will go 1st to127 and lower."
773233016,bellofortrade,False,1054,1878,5032,6,2013-01-24 18:33:23+00:00, ,294513241827209217,en,0,0,0,0,Twitter for iPhone,EUR/USD has formed a Rising Wedge pattern on the 1D chart. The pattern has 64% quality and 51% magnitude on in the 84-bar period.
75763473,FOREXTRADECALLS,False,107,73,1569,0,2013-01-24 18:03:07+00:00, ,294505624660754432,en,0,0,0,0,Twitter Web Client,SELL EUR/USD - AT 1.3380 STOP 1.3430 TARGETS 1.3330 AND 1.3280.
486616090,Rudy_Tradertik,False,86,177,560,4,2013-01-24 16:58:43+00:00, ,294489417375182848,en,0,0,0,0,Hootsuite,AM strategies; Standard and Dynamic enjoying their current long positions as EUR/USD marks day's highs a few mins ago.
542676381,ImMithani,False,72,302,1145,2,2013-01-24 16:48:04+00:00, ,294486737881800704,en,0,0,0,0,Twitter Web Client,@JamieSaettele Do you see strength in EUR/USD to break range and make new high?
803845362,LukeLaubaugh,False,33,96,289,1,2013-01-24 16:21:58+00:00, ,294480171916984320,en,0,0,0,0,Twitter Web Client,"EUR/JPY w/in 35 pips of trend highs at 120.73, EUR/USD within 25 pips or so of its trend high at 1.3304 and USD/JPY just below 90.25."
266077695,GoAndroidMarket,False,5472,10,49553,89,2013-01-24 15:28:09+00:00, ,294466625455915010,en,0,0,0,0,dlvr.it,Market talk of offers in EUR/USD at 1.3370 and 1.3400 ...
17510336,hplangersyquia,False,87,1386,287,0,2013-01-24 14:36:22+00:00, ,294453595959615490,en,0,0,0,0,Twitter for iPhone,I wonder if the decline of the GBP vs EUR and USD over the last two-three weeks is related to Cameron's speech..
417466711,CurtEsterline,False,45,92,97,0,2013-01-24 14:13:26+00:00, ,294447823544532992,en,0,0,0,0,LinkedIn,"Except for waking up at 1:45 am with a blood sugar of 56, it has been a pretty good morning.  Up 52 points on the EUR/USD and counting!"
