,tweet,textblob_polarity,textblob_subjectivity,nltk,vader
0,@robbooker @JenTho3 Is there a different setting for Tri Pips on EUR/JPY and XAU/USD? Regular MACD settings are off the scale.,0.0,0.07692307692307693,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,@merovign 260 to be exact. And convert that to SGD from USD is much much better than converting 400 EUR to SGD.,0.375,0.375,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}"
2,@media_hobbit And that's for PC. Console versions are 10 EUR (13 USD) more.,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,Our one-month forecast for EUR/USD is 1.32 and 12-month forecast is 1.22,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,"@IlyaSpivak : Hello Ilya, just saw the price and really surprise the move of #EUR/USD &amp; #GBP/USD. phew.. I can't get the color of this move.",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,swiss franc is moving (vs EUR and USD cross),0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,Another 10 Pips On EUR/USD and 10 Pips On USD/CHF. #heavenonhell @PipsCart,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,"So americans pay 3,199 USD/gallon (0,65 EUR/liter) and think that is expensive? Please bring your SUV to the Netherlands ;-)",0.0,0.0,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}","{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}"
8,"@piptrain aud/usd short,considering eur/usd short???if we get there i will short 10460 and 1296.usd/nok limit buy 6,65....",0.0,0.3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,"#EUR/USD paid up to trip stops above 1.2920
Further stops tipped over 1.2950 and 1.2980, market judged short
#USD #FX #li",0.0,0.3,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.5267}","{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.5267}"
10,I'm hoping for EUR to decrease in strength and CAD or USD to begin. Waiting for a good time for it to start.,0.7,0.6000000000000001,"{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.8402}","{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.8402}"
11,Short on Eur/Usd and Long on Usd/Chf.. #fiscalcliff,-0.025,0.35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,"#EUR/USD takes a swing towards 1.30. This area is where the daily cloud top and the one-year channel highs come in, #BARC expects a pullback",0.33,0.52,"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.2023}","{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.2023}"
13,USD/CHF and EUR/USD trades not really moved as of yet,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,EUR/USD has formed a Channel Down pattern on the 4H chart. The pattern has  40% quality and 55% magnitude in the 254-bar period.,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
