,tweet,textblob_polarity,textblob_subjectivity,nltk,vader
0,EUR/USD weekly is in a low volume rising wedge and last week's reversal @ 1.33 had heavy volume. Don't lever-up your kid's college fund yet.,0.0,0.18333333333333332,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.2732}","{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.2732}"
1,"As I helped cap the EUR/USD market earlier, I might as well try and put a bottom in it……",0.0,0.5,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.5859}","{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.5859}"
2,"GBP/USD drop to 1.6107 
i like GBP/USD 
wait and see EUR/JPY to sell",0.0,0.0,"{'neg': 0.181, 'neu': 0.603, 'pos': 0.216, 'compound': 0.1027}","{'neg': 0.181, 'neu': 0.603, 'pos': 0.216, 'compound': 0.1027}"
3,"EUR/USD  – Edges Higher in Thin Holiday Trading: As the markets wind down for the Christmas holiday, EUR/USD is edging higher, and ha...",0.033333333333333326,0.6166666666666667,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.6597}","{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.6597}"
4,"IMHO a ""Fiscal Cliff"" deal is likely to strengthen EUR and risk currencies and weaken the USD.",0.0,0.0,"{'neg': 0.293, 'neu': 0.419, 'pos': 0.287, 'compound': -0.0258}","{'neg': 0.293, 'neu': 0.419, 'pos': 0.287, 'compound': -0.0258}"
5,"- In terms of sectors in Europe, Oil &amp; gas and Basic Materials are the best performing as UK mining stocks outperform.
- EUR/USD trad...",0.5,0.2125,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6369}","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6369}"
6,"@RKrivoFX 
On daily studies am watching: Strong EUR, CHF, and NZD and Weak JPY, USD, and CAD.",0.029166666666666646,0.6791666666666667,"{'neg': 0.191, 'neu': 0.592, 'pos': 0.217, 'compound': 0.1027}","{'neg': 0.191, 'neu': 0.592, 'pos': 0.217, 'compound': 0.1027}"
7,EUR/USD &amp; EUR/JPY higher on the night. More weakness in Yen as Abe continues  loose monetary policy rhetoric and inflation target of 2%,-0.0625,0.5625,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4404}","{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4404}"
8,long eur/usd 13188 just add one. long ibex 35 and cooper. long tern. i will add any dips. in the eur and ibex35.,-0.05000000000000001,0.4000000000000001,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,EUR/USD Christmas Eve is leaving the market with thin volume and an empty calendar.,-0.4,0.8500000000000001,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,@saraeisenfx Sara! Interested in why the USD and EUR act so differently in contrast to similar measures taken by their central banks?,0.0,0.325,"{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.4588}","{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.4588}"
11,"@luayzahirul2 yup we do :-). We accept aud, eur, usd, cad and gbp :-). Please contact us on sales@ioxhost.com and we'll be able to help you.",0.0,0.0,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.7506}","{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.7506}"
12,do you think EUR/USD will find the 13126 suport and after that edge above 13308??,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,Yes you guessed it - been buying eur/usd and cable until the euro turned &amp; showed weekly turning point (over bought) Then I started selling!,0.0,0.0,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}"
