,tweet,textblob_polarity,textblob_subjectivity,nltk,vader
0,"EUR/USD 1.3092 + 4, AND +6, -6, -6 = -2, NET + 39, S/B +38, (TWO MISTAKES LAST POST +2 +2 NOT +5 LOL)

A VERY GOOD DAY, EVEN 10K LOTS = + 74",0.2333333333333333,0.22222222222222224,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}"
1,@kathylienfx what is new picture of GBP and EUR ahead week against USD...,0.13636363636363635,0.45454545454545453,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,MEMBERS: Daily Trade Recap video posted and available now. Re: Making the case for the next short move on #EUR/USD (top-down analysis). #fx,0.0,0.15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"UR/USD 1.3073 +5, and +8 =+13 add +31 net +44 closing -8 

total EUR/USD this series +36 high volatility reduces profits..",0.05333333333333334,0.43,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}"
4,Spooz have turned from a EUR/USD proxy to a USD/JPY proxy and no to a 10yr (or 30yr fixed mortgage?) proxy.  Good job algos!,0.7,0.6000000000000001,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}"
5,@knmtechnology @ForexLive LOL. I have just closed out half of my two live trades. short aud usd and eur usd. Stops to b/e..lets see,0.19242424242424244,0.4166666666666667,"{'neg': 0.129, 'neu': 0.706, 'pos': 0.165, 'compound': 0.1531}","{'neg': 0.129, 'neu': 0.706, 'pos': 0.165, 'compound': 0.1531}"
6,"Up 7am~workout upperbody~ 9-11am~class~Assess market~ pre and post~  EUR, JPY, AUD, CHF,, USD, CAD and NZD.",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,"Nearby expiries today all between 100 and 200 mio: USD/JPY 96.50. EUR/USD - 1.3050, 1.3180 AUD/USD - 0.9300 USD/CHF - 0.9350",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,~~&gt; USD Bullish with the release of positive Durable Goods Orders *Limit Buy Orders - EUR/USD and GBP/USD*,0.7,0.6000000000000001,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}"
9,Reminder: Draghi on the wires in 5 mins... then US durable goods in 20 mins and finally New Home Sales at 16.00 CET $EUR $USD,0.27878787878787875,0.6848484848484849,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}"
10,@Elliotwavetiger  and now: EUR/USD,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,Still long GBP vs USD and EUR. Medium term targets should be around 1.75 and 1.30 imho. It's the USD i'm particularly worried about,0.05833333333333333,0.3666666666666667,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,"out all usd short against cad, jpy, aud and eur. Now only long usdjpy from 96.40",-0.025,0.35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,"EUR/JPY,GBP/JPY,USD/JPY...the trend is very slow and the range small..you better wait for the break..200MAs are very strong..keep watching..",0.09999999999999998,0.44999999999999996,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
14,Flash: What can we do with the EUR/USD? – Commerzbank and Rabobank,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,"#FX: in the FX space today the USD, CHF, NZD and HKD are lower, while EUR and GBP are mixed, JPY, NOK and SEK are higher ^KB",0.25,0.5,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}","{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}"
16,"#EUR/USD Buy Orders 1.3050-60 and stops below.Sell Orders 1.3140-50, 1.3180 #USD",0.0,0.0,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}","{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}"
