,tweet,textblob_polarity,textblob_subjectivity,nltk,vader
0,@FGoria @ChrisAdamsMKTS And the EUR/USD goes up? Crazy world?,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,"Eur/usd;Even experts are confused,Trade well and follow the trend, not the so-called “experts.”",0.0,0.0,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2732}","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2732}"
2,EUR/USD Continues to Build Strength After FOMC and Bernanke,0.0,0.0,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4939}","{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4939}"
3,Mirko K: I bought a €25 PUT binary option on EUR/USD at 25.04.12 18:06 and took €42 54 minutes later,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,Gökhan K: I bought a 25TL CALL binary option on EUR/USD at 25.04.12 18:52 and took 42TL 8 minutes later,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,"@ChrisAdamsMKTS i see a relation between EUR/USD and GOLD. As EUR goes down, so does GOLD.",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,EUR/USD falls exceptionally fast as FED announces interest rates to remain unchanged. Currently at 1.3191 and falling,0.1,0.5,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.4588}","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.4588}"
7,@slee010 same though i got some open postions selling EUR/USD and AXUUSD rallies. Stop loss running. Waiting For FOMC,0.0,0.5,"{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.5423}","{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.5423}"
8,@slee010 same though i got some open postions selling  EUR/USD and AXUUSD rallies. Stop loss running. Waiting For FOMC,0.0,0.5,"{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.5423}","{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.5423}"
9,If FOMC disappoints then all the Bad data in EUR GBP and AUD will resurface on the USD pairs.,-0.6999999999999998,0.6666666666666666,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.7351}","{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.7351}"
