,tweet,textblob_polarity,textblob_subjectivity,nltk,vader
0,"Profits for the week = 195 pips (45 pips in EUR/CHF, 80 pips in USD/JPY and 70 pips in CAD/JPY)",0.0,0.0,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
1,#FF #ff @MadPatcherStore  THE MADDEST METAL MERCH MAILORDER ! ! ! ! Mad patcher ships worldwide and accepts payments in EUR USD GBP ! ! ! !,-0.625,1.0,"{'neg': 0.357, 'neu': 0.51, 'pos': 0.133, 'compound': -0.6597}","{'neg': 0.357, 'neu': 0.51, 'pos': 0.133, 'compound': -0.6597}"
2,#FF #ff  @MadPatcherStore THE MADDEST METAL MERCH MAILORDER ! ! ! ! Mad patcher ships worldwide and accepts payments in EUR USD GBP ! ! ! !,-0.625,1.0,"{'neg': 0.357, 'neu': 0.51, 'pos': 0.133, 'compound': -0.6597}","{'neg': 0.357, 'neu': 0.51, 'pos': 0.133, 'compound': -0.6597}"
3,EUR/USD edges lower to 1.2506 in early US session and intraday bias remains on the downside for 61.8% projection.,0.0,0.0,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.3818}","{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.3818}"
4,"Buy horses in Spain  NOW !
Today's exchange rate : 
1 USD you get 0.79561 EUR
1 EUR you get 1.25678 USD
Pls. contact for info and videos",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,#EUR/USD Be wise for entry the market.. Seems news of eurozone keep running heat.. June almost come and don't forget next Friday is N.F.P.,0.35,0.45,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5427}","{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5427}"
6,"Tensions in Greece and eurozone continue, and euro is struggling here. Unless the EUR/USD moves dramatically today, I imagine major indices",0.0625,0.5,"{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.3182}","{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.3182}"
7,@petenajarian @cnbcfastmoney @stephenLweiss @ScottWapnercnbc @grassosteve they are probably short EUR and long USD #jokingly,-0.025,0.35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,EUR/USD is up 0.44 cents (+0.35%) on the report and the dollar index is down 0.23 points (-0.29%).,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,"Dear Twitter, if EUR/USD is 1.25 and GBP/EUR is 1.25 and... GBP/USD is 1.58 - dont i just take 33p and run?",0.0,0.0,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3818}","{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3818}"
10,"Unless the Euro issues get resolved (resolution would be a miracle), I see a 5-7% decline for stocks, Eur/UsD and AuD/UsD in the near term",0.1,0.4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,With greece out EUR weakens in near term and USD goes strong I guess Re can slide to 57.5 and 60 let's watch for 17 th june,0.26666666666666666,0.5666666666666667,"{'neg': 0.164, 'neu': 0.643, 'pos': 0.193, 'compound': 0.128}","{'neg': 0.164, 'neu': 0.643, 'pos': 0.193, 'compound': 0.128}"
12,"@MWellerFX  Gd morning :) 
Selling EUR/GBP  and looking for a reversal on the USD/MXN",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,Any little thing and the Euro falls off a cliff. Look at a 15 minute chart of the EUR/USD ... got rocked by the shorts.,0.0,0.3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,eur/usd finally out of all my positions a pleasing week  +10.9% have a good weekend in the sun all and a B/H Monday too.,0.35,0.8,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
15,And here it goes: EUR/USD back in negative territory!,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,"EUR/USD, GBP/USD, USD/JPY and USD/CHF Daily Free Signals by WFX-Today",0.4,0.8,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5106}","{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5106}"
17,The fear is that EUR/USD rally into 1.27 and back into 1.24 should not happen in NY time; then we see USD/INR back at 55.65-56.05 on Monday.,0.0,0.0,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.4939}","{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.4939}"
18,"took out Eur/Usd load from 1,2585 @Be /will relong at levels 1,2525 and 1,2485 #FXDIRK",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
19,"EUR/USD Daily Outlook May 25, 2012 The EUR/USD pair has been falling day after day recently, and it was only the 1.25 level that could ho",0.0,0.25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,EUR/USD traded lower overnight and is now correcting these losses. The short term trend is however bearish,0.0,0.3,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5423}","{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5423}"
21,RT @TradewindsTS: EUR/USD May 25 – Bounces Off Support on Italian Promises Euro USD managed to find support on low ground and bounce  http:/,0.0,0.15,"{'neg': 0.108, 'neu': 0.615, 'pos': 0.277, 'compound': 0.5106}","{'neg': 0.108, 'neu': 0.615, 'pos': 0.277, 'compound': 0.5106}"
22,"Sell USD on rallies today! Buy EUR 1.2550, GBP 1.5653 and Gold @ 1555.",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,EUR/USD - Still weak and selling short to 12300,-0.1875,0.4625,"{'neg': 0.367, 'neu': 0.633, 'pos': 0.0, 'compound': -0.4404}","{'neg': 0.367, 'neu': 0.633, 'pos': 0.0, 'compound': -0.4404}"
