,tweet,textblob_polarity,textblob_subjectivity,nltk,vader
0,@JDBudgie I'm amazined AUD/USD still so high -- especialy with potential for large risk off after EUR meeting and iron ore prices tanking,0.16,0.5399999999999999,"{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.2732}","{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.2732}"
1,"Recession will not hurt gold. In 2008 & the 'Deflationary spiral', stocks fell sharply, #Gold rose 5.8% in USD, 12% in EUR and 44% in GBP",0.6,0.95,"{'neg': 0.221, 'neu': 0.779, 'pos': 0.0, 'compound': -0.5267}","{'neg': 0.221, 'neu': 0.779, 'pos': 0.0, 'compound': -0.5267}"
2,"Sometimes I dream there would only be one and unique global currency! Tired of swapping between USD, EUR and SGD...",0.0,0.0,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.25}","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.25}"
3,"Am long CHF, USD, Jpy & Nok against SEK, Eur, Aud and Cad..",-0.05,0.4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,"Gartman: EU Debt Plan to Hurt Currencies - Buy Gold in USD, GBP and EUR as “Is ... - Gold Seek",0.0,0.0,"{'neg': 0.371, 'neu': 0.629, 'pos': 0.0, 'compound': -0.7096}","{'neg': 0.371, 'neu': 0.629, 'pos': 0.0, 'compound': -0.7096}"
5,"UK officials says that there will be no Ecofin meeting tomorrow, Wednesday. Equity markets and the EUR/USD sells of. Stockholm -0,90 %.",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,"EU Summit meeting cancelled. Risk averse markets react negatively. ZAR now at 7.95 ag USD, 11.03 ag EUR, and 12.71 to GBP.",0.0,0.0,"{'neg': 0.24, 'neu': 0.76, 'pos': 0.0, 'compound': -0.4767}","{'neg': 0.24, 'neu': 0.76, 'pos': 0.0, 'compound': -0.4767}"
7,"Last weeks in EUR/USD hold first short term key support and break two short term resistance levels. One step back, two forwards. How long?",0.028571428571428574,0.34285714285714286,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4019}","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4019}"
8,"EUR/USD need to go up, that's the goal for EU/ECB before EU summit. At least 1.40. So will be news wires soon and/or rumors with good news.",0.19999999999999998,0.5,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}"
9,Go US$ go.......Take out 1.3875 in EUR/USD and 1.0035 to the upside in USD/CAD and happy days...if not its back to Jack and Diets again.,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,"Gartman: EU Debt Plan to Hurt Currencies - Buy Gold in USD, GBP and EUR as “Is a Currency”  via @AddThis",0.0,0.0,"{'neg': 0.371, 'neu': 0.629, 'pos': 0.0, 'compound': -0.7096}","{'neg': 0.371, 'neu': 0.629, 'pos': 0.0, 'compound': -0.7096}"
11,EUR/USD tested the 1.3950 level again and was rejected.,0.0,0.0,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}","{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}"
12,"USD/CAD short still open from friday, GOLD, EUR/USD and AUD/USD hit trailing stop for profit. Opened in same direction on PC break. #fx",0.025,0.42500000000000004,"{'neg': 0.122, 'neu': 0.718, 'pos': 0.16, 'compound': 0.1779}","{'neg': 0.122, 'neu': 0.718, 'pos': 0.16, 'compound': 0.1779}"
13,USD-Index falls to fresh 6-week low of 75.64 with EUR/USD and GBP/USD moving near session highs,0.14,0.43500000000000005,"{'neg': 0.146, 'neu': 0.694, 'pos': 0.16, 'compound': 0.0516}","{'neg': 0.146, 'neu': 0.694, 'pos': 0.16, 'compound': 0.0516}"
14,USD-Index falls to fresh 6-week low of 75.64 with EUR/USD and GBP/USD moving near session highs,0.14,0.43500000000000005,"{'neg': 0.146, 'neu': 0.694, 'pos': 0.16, 'compound': 0.0516}","{'neg': 0.146, 'neu': 0.694, 'pos': 0.16, 'compound': 0.0516}"
15,will keep the placed Long in EUR/CHF and the Short in EUR/USD  #FXDIRK,-0.025,0.35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,Eur/Usd 1.4000 seems psychologically strong barrier. When it breaks have a good at the candles before you go long. it may test and swing low,0.2708333333333333,0.5083333333333333,"{'neg': 0.182, 'neu': 0.505, 'pos': 0.313, 'compound': 0.5574}","{'neg': 0.182, 'neu': 0.505, 'pos': 0.313, 'compound': 0.5574}"
17,"target limit hit eur/usd long , hit 1,39 33 and close the position with +97 pips profit.",-0.05,0.4,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
