,tweet,textblob_polarity,textblob_subjectivity,nltk,vader
0,Bingo! I closed USD/JPY S and EUR/JPY S here. They buried the gaps and are bouncing on 25-50 MA.,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,"Mysterious extinction of EUR permabulls USD permabears and JPY chart astrologers.
What a tragedy.",-0.4,0.6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,eur/usd trading was 13183-13321 then down to 13050....just buy or sell the shit out of it and ask questions later,-0.1,0.4,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.5574}","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.5574}"
3,"the more Eur/Usd goes south, the more Germany will profit and PIGIs will suffer more &gt;&gt; so sad, but true! :( #FXDIRK",-0.07500000000000001,0.825,"{'neg': 0.382, 'neu': 0.289, 'pos': 0.329, 'compound': -0.2263}","{'neg': 0.382, 'neu': 0.289, 'pos': 0.329, 'compound': -0.2263}"
4,"@thebuddhasmiled Even sterling, apparently, despite downgrade. Up against both USD and particularly EUR.",0.16666666666666666,0.3333333333333333,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,Anybody still playing the inverted H&amp;S in EUR/USD? Buy the dip and wait for Cyprus bail out/in to produce some happy news to make money #NOT,0.0,0.0,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.34}","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.34}"
6,@notayesmansecon what has spooked the markets? USD and EUR... presumably the sequester and the Italian election?,0.4,0.45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,"Oh, and sterling is now up against both USD and EUR. So much for downgrade.",0.2,0.2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,"When EUR/USD and USD/JPY fall, EUR/JPY collapses more than 500 pips in one day...",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,Closing EUR/USD short position we built end of Jan and mentioned Jan 25  (+400pips),0.0,0.3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
