,tweet,textblob_polarity,textblob_subjectivity,nltk,vader
0,Could look at the EUR/JPY or the USD/JPY potential shorts and not the bermuda kind!,0.3,0.6,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.5267}","{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.5267}"
1,eur/usd what a boring trading day and a Monday.,0.0,0.0,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.25}","{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.25}"
2,"@Reko1966 i think 1,27 has been wave 4. And from here is wave 5 down. I will sell rallys eur/usd. I am long usdollar.",-0.05,0.4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"@Reko1966 sorry for not answer earlyer. I believe eur/usd will   break 1,2440. From there we can see 1.23 and from there 1,20 midlle of july",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,"Weekly Summary on USD, EUR, GBP, JPY, MXN and RMB",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,I should probably short EUR/USD ; current outlook bearish but monitoring #EU summit and #eurozone #euro,0.0,0.35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,"S&amp;P fut off -.9%, and related currency crosses ugly with AUD/JPY -1.5%, AUD/USD -.3% (USD strength distorting), EUR/JPY -1.5%. EUR at 1.2498",0.0,0.0,"{'neg': 0.131, 'neu': 0.686, 'pos': 0.183, 'compound': 0.2263}","{'neg': 0.131, 'neu': 0.686, 'pos': 0.183, 'compound': 0.2263}"
7,"#EUR/USD 1.2500 Option expiries and related delta hedging draw
#EUR pressured all day however, but bottom pickers noted #USD #FX #li",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,"loans with profit 
Greetings.

These two articles look similar:
 EUR/USD remained above the significant 
1.30 figure and currently ...",0.0,0.4,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}"
9,Now Spain is down 3% and Italy 3.3%. To me they are already trading like Emerging Markets......#eur #usd #Spain #Italy,0.0,0.0,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}","{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}"
